AÑO;ÁREA GEOGRÁFICA;Hombres_0;Hombres_1;Hombres_2;Hombres_3;Hombres_4;Hombres_5;Hombres_6;Hombres_7;Hombres_8;Hombres_9;Hombres_10;Hombres_11;Hombres_12;Hombres_13;Hombres_14;Hombres_15;Hombres_16;Hombres_17;Hombres_18;Hombres_19;Hombres_20;Hombres_21;Hombres_22;Hombres_23;Hombres_24;Hombres_25;Hombres_26;Hombres_27;Hombres_28;Hombres_29;Hombres_30;Hombres_31;Hombres_32;Hombres_33;Hombres_34;Hombres_35;Hombres_36;Hombres_37;Hombres_38;Hombres_39;Hombres_40;Hombres_41;Hombres_42;Hombres_43;Hombres_44;Hombres_45;Hombres_46;Hombres_47;Hombres_48;Hombres_49;Hombres_50;Hombres_51;Hombres_52;Hombres_53;Hombres_54;Hombres_55;Hombres_56;Hombres_57;Hombres_58;Hombres_59;Hombres_60;Hombres_61;Hombres_62;Hombres_63;Hombres_64;Hombres_65;Hombres_66;Hombres_67;Hombres_68;Hombres_69;Hombres_70;Hombres_71;Hombres_72;Hombres_73;Hombres_74;Hombres_75;Hombres_76;Hombres_77;Hombres_78;Hombres_79;Hombres_80;Hombres_81;Hombres_82;Hombres_83;Hombres_84;Hombres_85;Hombres_86;Hombres_87;Hombres_88;Hombres_89;Hombres_90;Hombres_91;Hombres_92;Hombres_93;Hombres_94;Hombres_95;Hombres_96;Hombres_97;Hombres_98;Hombres_99;Hombres_100;Mujeres_0;Mujeres_1;Mujeres_2;Mujeres_3;Mujeres_4;Mujeres_5;Mujeres_6;Mujeres_7;Mujeres_8;Mujeres_9;Mujeres_10;Mujeres_11;Mujeres_12;Mujeres_13;Mujeres_14;Mujeres_15;Mujeres_16;Mujeres_17;Mujeres_18;Mujeres_19;Mujeres_20;Mujeres_21;Mujeres_22;Mujeres_23;Mujeres_24;Mujeres_25;Mujeres_26;Mujeres_27;Mujeres_28;Mujeres_29;Mujeres_30;Mujeres_31;Mujeres_32;Mujeres_33;Mujeres_34;Mujeres_35;Mujeres_36;Mujeres_37;Mujeres_38;Mujeres_39;Mujeres_40;Mujeres_41;Mujeres_42;Mujeres_43;Mujeres_44;Mujeres_45;Mujeres_46;Mujeres_47;Mujeres_48;Mujeres_49;Mujeres_50;Mujeres_51;Mujeres_52;Mujeres_53;Mujeres_54;Mujeres_55;Mujeres_56;Mujeres_57;Mujeres_58;Mujeres_59;Mujeres_60;Mujeres_61;Mujeres_62;Mujeres_63;Mujeres_64;Mujeres_65;Mujeres_66;Mujeres_67;Mujeres_68;Mujeres_69;Mujeres_70;Mujeres_71;Mujeres_72;Mujeres_73;Mujeres_74;Mujeres_75;Mujeres_76;Mujeres_77;Mujeres_78;Mujeres_79;Mujeres_80;Mujeres_81;Mujeres_82;Mujeres_83;Mujeres_84;Mujeres_85;Mujeres_86;Mujeres_87;Mujeres_88;Mujeres_89;Mujeres_90;Mujeres_91;Mujeres_92;Mujeres_93;Mujeres_94;Mujeres_95;Mujeres_96;Mujeres_97;Mujeres_98;Mujeres_99;Mujeres_100;Total_0;Total_1;Total_2;Total_3;Total_4;Total_5;Total_6;Total_7;Total_8;Total_9;Total_10;Total_11;Total_12;Total_13;Total_14;Total_15;Total_16;Total_17;Total_18;Total_19;Total_20;Total_21;Total_22;Total_23;Total_24;Total_25;Total_26;Total_27;Total_28;Total_29;Total_30;Total_31;Total_32;Total_33;Total_34;Total_35;Total_36;Total_37;Total_38;Total_39;Total_40;Total_41;Total_42;Total_43;Total_44;Total_45;Total_46;Total_47;Total_48;Total_49;Total_50;Total_51;Total_52;Total_53;Total_54;Total_55;Total_56;Total_57;Total_58;Total_59;Total_60;Total_61;Total_62;Total_63;Total_64;Total_65;Total_66;Total_67;Total_68;Total_69;Total_70;Total_71;Total_72;Total_73;Total_74;Total_75;Total_76;Total_77;Total_78;Total_79;Total_80;Total_81;Total_82;Total_83;Total_84;Total_85;Total_86;Total_87;Total_88;Total_89;Total_90;Total_91;Total_92;Total_93;Total_94;Total_95;Total_96;Total_97;Total_98;Total_99;Total_100;Total Hombres;Total Mujeres;Total
1950;Cabecera;78.665;73.308;70.757;68.626;66.636;64.726;62.836;61.061;59.372;57.872;56.753;55.841;55.177;54.711;54.552;54.174;54.062;53.883;53.500;52.899;52.224;51.468;50.413;48.988;47.233;45.449;43.550;41.727;40.095;38.578;37.007;35.506;34.196;32.992;31.823;30.756;29.915;28.858;27.390;25.892;24.522;23.338;22.378;22.205;21.207;20.260;19.342;18.485;17.708;16.968;16.374;15.792;15.170;14.505;13.794;13.119;12.452;11.777;11.082;10.384;9.687;9.017;8.385;7.796;7.257;6.747;6.237;5.751;5.290;4.845;4.428;4.037;3.634;3.201;2.770;2.364;2.009;1.713;1.483;1.320;1.214;1.164;1.166;1.209;1.289;1.192;1.044;869;680;505;351;229;137;76;39;18;8;3;1;0;232;97.376;90.257;86.399;82.900;79.668;76.580;73.548;70.656;67.808;65.348;62.991;61.239;59.814;58.732;58.062;58.008;58.327;58.580;58.524;58.128;57.540;56.795;55.625;53.963;51.982;49.896;47.680;45.597;43.749;42.069;40.313;38.493;37.107;35.765;34.498;33.370;32.515;31.334;29.515;27.697;26.050;24.772;23.816;23.969;22.979;22.055;21.157;20.278;19.427;18.596;17.847;17.144;16.452;15.762;15.090;14.453;13.825;13.239;12.701;12.192;11.701;11.214;10.698;10.151;9.565;8.991;8.423;7.874;7.356;6.856;6.376;5.915;5.421;4.869;4.300;3.759;3.276;2.887;2.591;2.393;2.282;2.258;2.301;2.410;2.575;2.391;2.109;1.759;1.391;1.035;721;470;286;160;82;39;16;6;2;1;641;176.041;163.565;157.156;151.526;146.304;141.306;136.384;131.717;127.180;123.220;119.744;117.080;114.991;113.443;112.614;112.182;112.389;112.463;112.024;111.027;109.764;108.263;106.038;102.951;99.215;95.345;91.230;87.324;83.844;80.647;77.320;73.999;71.303;68.757;66.321;64.126;62.430;60.192;56.905;53.589;50.572;48.110;46.194;46.174;44.186;42.315;40.499;38.763;37.135;35.564;34.221;32.936;31.622;30.267;28.884;27.572;26.277;25.016;23.783;22.576;21.388;20.231;19.083;17.947;16.822;15.738;14.660;13.625;12.646;11.701;10.804;9.952;9.055;8.070;7.070;6.123;5.285;4.600;4.074;3.713;3.496;3.422;3.467;3.619;3.864;3.583;3.153;2.628;2.071;1.540;1.072;699;423;236;121;57;24;9;3;1;873;2.433.730;2.757.803;5.191.533
1950;Centros Poblados y Rural Disperso;184.737;170.191;162.832;156.622;150.955;145.789;140.989;136.398;132.149;128.135;124.707;121.483;118.575;116.113;113.976;111.081;108.431;105.372;101.583;97.360;93.314;89.335;85.353;81.422;77.575;73.847;70.257;67.112;64.696;62.648;60.759;59.016;57.670;56.222;54.716;53.406;52.379;51.159;49.467;47.869;46.481;45.468;44.684;45.068;43.578;42.165;40.765;39.371;37.934;36.502;34.995;33.544;32.173;30.868;29.637;28.417;27.225;26.012;24.773;23.514;22.261;21.043;19.887;18.815;17.800;16.808;15.826;14.833;13.814;12.780;11.802;10.844;9.840;8.770;7.673;6.618;5.671;4.879;4.266;3.828;3.562;3.453;3.482;3.646;3.933;3.665;3.248;2.723;2.160;1.609;1.124;730;445;248;125;59;24;10;4;1;467;156.952;143.481;135.874;129.246;123.404;117.943;112.740;107.788;103.069;98.784;95.032;91.276;87.842;84.578;81.499;78.871;76.361;73.467;69.980;66.181;62.730;59.470;56.388;53.501;50.787;48.182;45.701;43.541;41.819;40.336;38.925;37.575;36.571;35.395;34.148;33.069;32.227;31.194;29.686;28.234;26.933;25.995;25.292;25.643;24.684;23.791;22.900;21.986;20.991;19.960;18.896;17.897;17.006;16.257;15.614;14.993;14.404;13.851;13.325;12.831;12.369;11.914;11.455;10.964;10.466;9.952;9.457;8.952;8.427;7.895;7.394;6.889;6.336;5.738;5.106;4.494;3.955;3.504;3.176;2.953;2.845;2.831;2.912;3.072;3.309;3.092;2.746;2.312;1.835;1.369;960;627;377;212;109;50;21;8;2;2;577;341.689;313.672;298.706;285.868;274.359;263.732;253.729;244.186;235.218;226.919;219.739;212.759;206.417;200.691;195.475;189.952;184.792;178.839;171.563;163.541;156.044;148.805;141.741;134.923;128.362;122.029;115.958;110.653;106.515;102.984;99.684;96.591;94.241;91.617;88.864;86.475;84.606;82.353;79.153;76.103;73.414;71.463;69.976;70.711;68.262;65.956;63.665;61.357;58.925;56.462;53.891;51.441;49.179;47.125;45.251;43.410;41.629;39.863;38.098;36.345;34.630;32.957;31.342;29.779;28.266;26.760;25.283;23.785;22.241;20.675;19.196;17.733;16.176;14.508;12.779;11.112;9.626;8.383;7.442;6.781;6.407;6.284;6.394;6.718;7.242;6.757;5.994;5.035;3.995;2.978;2.084;1.357;822;460;234;109;45;18;6;3;1.044;4.931.650;3.447.760;8.379.410
1950;Total;263.402;243.499;233.589;225.248;217.591;210.515;203.825;197.459;191.521;186.007;181.460;177.324;173.752;170.824;168.528;165.255;162.493;159.255;155.083;150.259;145.538;140.803;135.766;130.410;124.808;119.296;113.807;108.839;104.791;101.226;97.766;94.522;91.866;89.214;86.539;84.162;82.294;80.017;76.857;73.761;71.003;68.806;67.062;67.273;64.785;62.425;60.107;57.856;55.642;53.470;51.369;49.336;47.343;45.373;43.431;41.536;39.677;37.789;35.855;33.898;31.948;30.060;28.272;26.611;25.057;23.555;22.063;20.584;19.104;17.625;16.230;14.881;13.474;11.971;10.443;8.982;7.680;6.592;5.749;5.148;4.776;4.617;4.648;4.855;5.222;4.857;4.292;3.592;2.840;2.114;1.475;959;582;324;164;77;32;13;5;1;699;254.328;233.738;222.273;212.146;203.072;194.523;186.288;178.444;170.877;164.132;158.023;152.515;147.656;143.310;139.561;136.879;134.688;132.047;128.504;124.309;120.270;116.265;112.013;107.464;102.769;98.078;93.381;89.138;85.568;82.405;79.238;76.068;73.678;71.160;68.646;66.439;64.742;62.528;59.201;55.931;52.983;50.767;49.108;49.612;47.663;45.846;44.057;42.264;40.418;38.556;36.743;35.041;33.458;32.019;30.704;29.446;28.229;27.090;26.026;25.023;24.070;23.128;22.153;21.115;20.031;18.943;17.880;16.826;15.783;14.751;13.770;12.804;11.757;10.607;9.406;8.253;7.231;6.391;5.767;5.346;5.127;5.089;5.213;5.482;5.884;5.483;4.855;4.071;3.226;2.404;1.681;1.097;663;372;191;89;37;14;4;3;1.218;517.730;477.237;455.862;437.394;420.663;405.038;390.113;375.903;362.398;350.139;339.483;329.839;321.408;314.134;308.089;302.134;297.181;291.302;283.587;274.568;265.808;257.068;247.779;237.874;227.577;217.374;207.188;197.977;190.359;183.631;177.004;170.590;165.544;160.374;155.185;150.601;147.036;142.545;136.058;129.692;123.986;119.573;116.170;116.885;112.448;108.271;104.164;100.120;96.060;92.026;88.112;84.377;80.801;77.392;74.135;70.982;67.906;64.879;61.881;58.921;56.018;53.188;50.425;47.726;45.088;42.498;39.943;37.410;34.887;32.376;30.000;27.685;25.231;22.578;19.849;17.235;14.911;12.983;11.516;10.494;9.903;9.706;9.861;10.337;11.106;10.340;9.147;7.663;6.066;4.518;3.156;2.056;1.245;696;355;166;69;27;9;4;1.917;7.365.380;6.205.563;13.570.943
1951;Cabecera;82.066;77.077;74.416;72.196;70.142;68.118;66.144;64.293;62.476;60.845;59.412;58.351;57.486;56.784;56.381;56.289;55.968;55.911;55.809;55.390;54.637;53.850;52.864;51.522;49.821;47.964;46.029;43.969;41.956;40.240;38.613;37.016;35.473;34.259;33.094;31.915;30.880;29.967;28.801;27.259;25.749;24.343;23.211;22.380;22.268;21.265;20.311;19.420;18.625;17.862;17.236;16.623;15.981;15.291;14.547;13.839;13.138;12.448;11.743;11.022;10.294;9.576;8.884;8.226;7.627;7.076;6.556;6.024;5.548;5.089;4.639;4.225;3.830;3.418;2.993;2.572;2.182;1.840;1.555;1.336;1.175;1.069;1.016;1.002;1.023;1.080;980;849;692;537;392;270;170;102;56;28;13;5;2;1;148;102.569;94.644;90.650;87.150;83.721;80.544;77.453;74.444;71.516;68.744;66.132;64.145;62.461;61.174;60.254;59.748;59.861;60.306;60.665;60.576;59.925;59.158;58.107;56.574;54.653;52.547;50.312;47.974;45.762;43.857;42.089;40.258;38.468;37.173;35.898;34.613;33.491;32.570;31.293;29.421;27.593;25.942;24.696;23.790;23.983;23.013;22.110;21.233;20.432;19.618;18.847;18.096;17.345;16.577;15.840;15.155;14.493;13.853;13.256;12.701;12.160;11.643;11.107;10.560;9.960;9.360;8.786;8.165;7.628;7.109;6.594;6.114;5.648;5.137;4.589;4.031;3.496;3.034;2.649;2.363;2.159;2.044;1.997;2.015;2.084;2.201;2.014;1.749;1.443;1.125;821;566;364;217;118;61;28;12;4;1;426;184.635;171.721;165.066;159.346;153.863;148.662;143.597;138.737;133.992;129.589;125.544;122.496;119.947;117.958;116.635;116.037;115.829;116.217;116.474;115.966;114.562;113.008;110.971;108.096;104.474;100.511;96.341;91.943;87.718;84.097;80.702;77.274;73.941;71.432;68.992;66.528;64.371;62.537;60.094;56.680;53.342;50.285;47.907;46.170;46.251;44.278;42.421;40.653;39.057;37.480;36.083;34.719;33.326;31.868;30.387;28.994;27.631;26.301;24.999;23.723;22.454;21.219;19.991;18.786;17.587;16.436;15.342;14.189;13.176;12.198;11.233;10.339;9.478;8.555;7.582;6.603;5.678;4.874;4.204;3.699;3.334;3.113;3.013;3.017;3.107;3.281;2.994;2.598;2.135;1.662;1.213;836;534;319;174;89;41;17;6;2;574;2.547.085;2.881.055;5.428.140
1951;Centros Poblados y Rural Disperso;185.714;172.429;165.021;158.773;153.115;147.847;143.013;138.389;133.996;129.815;125.800;122.326;119.042;116.127;113.509;111.219;108.168;105.361;102.112;98.235;94.073;90.069;86.245;82.518;78.848;75.099;71.554;68.145;65.238;62.971;61.088;59.286;57.645;56.258;54.831;53.400;52.102;51.191;50.125;48.563;47.031;45.703;44.662;43.771;44.095;42.648;41.249;39.858;38.447;37.027;35.498;34.025;32.659;31.357;30.118;28.885;27.681;26.494;25.295;24.049;22.796;21.535;20.305;19.128;18.025;16.986;16.029;14.970;13.958;12.936;11.913;10.937;9.996;9.024;7.989;6.939;5.937;5.051;4.313;3.735;3.321;3.057;2.925;2.912;3.010;3.197;2.939;2.563;2.119;1.651;1.211;831;535;320;175;87;41;17;6;3;288;161.104;146.617;138.922;132.406;126.372;120.883;115.699;110.670;105.933;101.267;97.225;93.168;89.389;85.848;82.417;79.164;76.370;73.702;70.691;67.208;63.664;60.365;57.400;54.657;52.034;49.447;46.994;44.643;42.626;40.977;39.604;38.296;36.945;35.850;34.629;33.426;32.348;31.596;30.671;29.225;27.801;26.529;25.558;24.803;25.107;24.191;23.321;22.434;21.513;20.518;19.445;18.409;17.471;16.661;15.972;15.320;14.714;14.125;13.552;13.024;12.525;12.054;11.589;11.115;10.619;10.096;9.613;9.046;8.515;7.979;7.451;6.940;6.432;5.900;5.311;4.695;4.112;3.588;3.164;2.841;2.622;2.498;2.463;2.502;2.609;2.773;2.556;2.242;1.855;1.449;1.066;734;469;279;155;77;35;15;5;2;374;346.818;319.046;303.943;291.179;279.487;268.730;258.712;249.059;239.929;231.082;223.025;215.494;208.431;201.975;195.926;190.383;184.538;179.063;172.803;165.443;157.737;150.434;143.645;137.175;130.882;124.546;118.548;112.788;107.864;103.948;100.692;97.582;94.590;92.108;89.460;86.826;84.450;82.787;80.796;77.788;74.832;72.232;70.220;68.574;69.202;66.839;64.570;62.292;59.960;57.545;54.943;52.434;50.130;48.018;46.090;44.205;42.395;40.619;38.847;37.073;35.321;33.589;31.894;30.243;28.644;27.082;25.642;24.016;22.473;20.915;19.364;17.877;16.428;14.924;13.300;11.634;10.049;8.639;7.477;6.576;5.943;5.555;5.388;5.414;5.619;5.970;5.495;4.805;3.974;3.100;2.277;1.565;1.004;599;330;164;76;32;11;5;662;4.973.522;3.511.285;8.484.807
1951;Total;267.780;249.506;239.437;230.969;223.257;215.965;209.157;202.682;196.472;190.660;185.212;180.677;176.528;172.911;169.890;167.508;164.136;161.272;157.921;153.625;148.710;143.919;139.109;134.040;128.669;123.063;117.583;112.114;107.194;103.211;99.701;96.302;93.118;90.517;87.925;85.315;82.982;81.158;78.926;75.822;72.780;70.046;67.873;66.151;66.363;63.913;61.560;59.278;57.072;54.889;52.734;50.648;48.640;46.648;44.665;42.724;40.819;38.942;37.038;35.071;33.090;31.111;29.189;27.354;25.652;24.062;22.585;20.994;19.506;18.025;16.552;15.162;13.826;12.442;10.982;9.511;8.119;6.891;5.868;5.071;4.496;4.126;3.941;3.914;4.033;4.277;3.919;3.412;2.811;2.188;1.603;1.101;705;422;231;115;54;22;8;4;436;263.673;241.261;229.572;219.556;210.093;201.427;193.152;185.114;177.449;170.011;163.357;157.313;151.850;147.022;142.671;138.912;136.231;134.008;131.356;127.784;123.589;119.523;115.507;111.231;106.687;101.994;97.306;92.617;88.388;84.834;81.693;78.554;75.413;73.023;70.527;68.039;65.839;64.166;61.964;58.646;55.394;52.471;50.254;48.593;49.090;47.204;45.431;43.667;41.945;40.136;38.292;36.505;34.816;33.238;31.812;30.475;29.207;27.978;26.808;25.725;24.685;23.697;22.696;21.675;20.579;19.456;18.399;17.211;16.143;15.088;14.045;13.054;12.080;11.037;9.900;8.726;7.608;6.622;5.813;5.204;4.781;4.542;4.460;4.517;4.693;4.974;4.570;3.991;3.298;2.574;1.887;1.300;833;496;273;138;63;27;9;3;800;531.453;490.767;469.009;450.525;433.350;417.392;402.309;387.796;373.921;360.671;348.569;337.990;328.378;319.933;312.561;306.420;300.367;295.280;289.277;281.409;272.299;263.442;254.616;245.271;235.356;225.057;214.889;204.731;195.582;188.045;181.394;174.856;168.531;163.540;158.452;153.354;148.821;145.324;140.890;134.468;128.174;122.517;118.127;114.744;115.453;111.117;106.991;102.945;99.017;95.025;91.026;87.153;83.456;79.886;76.477;73.199;70.026;66.920;63.846;60.796;57.775;54.808;51.885;49.029;46.231;43.518;40.984;38.205;35.649;33.113;30.597;28.216;25.906;23.479;20.882;18.237;15.727;13.513;11.681;10.275;9.277;8.668;8.401;8.431;8.726;9.251;8.489;7.403;6.109;4.762;3.490;2.401;1.538;918;504;253;117;49;17;7;1.236;7.520.607;6.392.340;13.912.947
1952;Cabecera;84.602;78.565;76.402;74.135;72.046;70.009;67.969;66.079;64.232;62.512;60.990;59.649;58.662;57.778;57.157;56.828;56.815;56.559;56.597;56.489;55.945;55.103;54.114;52.865;51.281;49.522;47.547;45.491;43.277;41.217;39.423;37.800;36.192;34.775;33.624;32.469;31.348;30.261;29.255;28.033;26.506;24.993;23.671;22.688;21.929;21.807;20.828;19.910;19.097;18.340;17.714;17.086;16.423;15.729;14.979;14.253;13.534;12.828;12.121;11.409;10.675;9.943;9.218;8.517;7.864;7.265;6.696;6.202;5.670;5.207;4.754;4.319;3.911;3.515;3.119;2.711;2.317;1.951;1.630;1.367;1.161;1.009;911;852;828;836;866;778;660;534;407;295;196;124;73;40;20;9;4;1;94;104.405;97.338;92.723;89.188;85.847;82.555;79.457;76.471;73.496;70.721;67.862;65.693;63.827;62.329;61.250;60.529;60.206;60.465;61.036;61.405;61.091;60.302;59.258;57.884;56.128;54.129;51.920;49.606;47.181;44.956;42.999;41.185;39.414;37.759;36.553;35.281;34.032;32.859;31.858;30.552;28.706;26.904;25.322;24.153;23.300;23.483;22.557;21.708;20.910;20.175;19.448;18.697;17.917;17.108;16.305;15.579;14.883;14.221;13.590;12.985;12.410;11.852;11.303;10.746;10.160;9.553;8.927;8.383;7.740;7.214;6.691;6.188;5.714;5.237;4.738;4.211;3.668;3.167;2.724;2.364;2.086;1.892;1.769;1.711;1.704;1.743;1.815;1.635;1.404;1.142;874;630;429;270;157;87;43;19;8;3;279;189.007;175.903;169.125;163.323;157.893;152.564;147.426;142.550;137.728;133.233;128.852;125.342;122.489;120.107;118.407;117.357;117.021;117.024;117.633;117.894;117.036;115.405;113.372;110.749;107.409;103.651;99.467;95.097;90.458;86.173;82.422;78.985;75.606;72.534;70.177;67.750;65.380;63.120;61.113;58.585;55.212;51.897;48.993;46.841;45.229;45.290;43.385;41.618;40.007;38.515;37.162;35.783;34.340;32.837;31.284;29.832;28.417;27.049;25.711;24.394;23.085;21.795;20.521;19.263;18.024;16.818;15.623;14.585;13.410;12.421;11.445;10.507;9.625;8.752;7.857;6.922;5.985;5.118;4.354;3.731;3.247;2.901;2.680;2.563;2.532;2.579;2.681;2.413;2.064;1.676;1.281;925;625;394;230;127;63;28;12;4;373;2.606.011;2.942.391;5.548.402
1952;Centros Poblados y Rural Disperso;191.043;175.385;169.066;162.692;156.937;151.629;146.647;141.933;137.470;133.089;128.865;124.782;121.218;117.909;114.829;112.045;109.571;106.354;103.335;99.971;96.122;91.968;88.097;84.488;80.986;77.373;73.758;70.356;67.149;64.361;62.238;60.414;58.689;56.983;55.590;54.211;52.779;51.584;50.805;49.837;48.310;46.823;45.450;44.280;43.330;43.640;42.210;40.777;39.338;37.935;36.404;34.899;33.492;32.186;30.947;29.687;28.455;27.244;26.056;24.843;23.590;22.313;21.021;19.764;18.547;17.403;16.337;15.380;14.235;13.208;12.184;11.154;10.186;9.263;8.306;7.301;6.289;5.343;4.511;3.815;3.274;2.880;2.616;2.473;2.429;2.472;2.592;2.343;2.016;1.635;1.256;905;615;388;228;123;61;28;11;4;181;166.627;153.216;144.385;137.684;131.666;125.895;120.602;115.513;110.618;105.857;101.375;96.953;92.814;88.877;85.129;81.489;78.047;75.086;72.267;69.225;65.947;62.521;59.480;56.824;54.299;51.757;49.275;46.904;44.656;42.680;41.111;39.808;38.463;37.000;35.828;34.619;33.398;32.391;31.728;30.838;29.386;27.955;26.627;25.586;24.784;25.082;24.176;23.306;22.370;21.441;20.389;19.325;18.337;17.472;16.705;16.001;15.352;14.733;14.117;13.530;12.990;12.468;11.984;11.492;11.006;10.469;9.923;9.437;8.781;8.226;7.682;7.136;6.611;6.112;5.571;4.983;4.384;3.807;3.305;2.888;2.575;2.349;2.217;2.160;2.169;2.231;2.339;2.129;1.836;1.495;1.152;832;561;355;209;111;56;25;11;4;249;357.670;328.601;313.451;300.376;288.603;277.524;267.249;257.446;248.088;238.946;230.240;221.735;214.032;206.786;199.958;193.534;187.618;181.440;175.602;169.196;162.069;154.489;147.577;141.312;135.285;129.130;123.033;117.260;111.805;107.041;103.349;100.222;97.152;93.983;91.418;88.830;86.177;83.975;82.533;80.675;77.696;74.778;72.077;69.866;68.114;68.722;66.386;64.083;61.708;59.376;56.793;54.224;51.829;49.658;47.652;45.688;43.807;41.977;40.173;38.373;36.580;34.781;33.005;31.256;29.553;27.872;26.260;24.817;23.016;21.434;19.866;18.290;16.797;15.375;13.877;12.284;10.673;9.150;7.816;6.703;5.849;5.229;4.833;4.633;4.598;4.703;4.931;4.472;3.852;3.130;2.408;1.737;1.176;743;437;234;117;53;22;8;430;5.077.544;3.643.846;8.721.390
1952;Total;275.645;253.950;245.468;236.827;228.983;221.638;214.616;208.012;201.702;195.601;189.855;184.431;179.880;175.687;171.986;168.873;166.386;162.913;159.932;156.460;152.067;147.071;142.211;137.353;132.267;126.895;121.305;115.847;110.426;105.578;101.661;98.214;94.881;91.758;89.214;86.680;84.127;81.845;80.060;77.870;74.816;71.816;69.121;66.968;65.259;65.447;63.038;60.687;58.435;56.275;54.118;51.985;49.915;47.915;45.926;43.940;41.989;40.072;38.177;36.252;34.265;32.256;30.239;28.281;26.411;24.668;23.033;21.582;19.905;18.415;16.938;15.473;14.097;12.778;11.425;10.012;8.606;7.294;6.141;5.182;4.435;3.889;3.527;3.325;3.257;3.308;3.458;3.121;2.676;2.169;1.663;1.200;811;512;301;163;81;37;15;5;275;271.032;250.554;237.108;226.872;217.513;208.450;200.059;191.984;184.114;176.578;169.237;162.646;156.641;151.206;146.379;142.018;138.253;135.551;133.303;130.630;127.038;122.823;118.738;114.708;110.427;105.886;101.195;96.510;91.837;87.636;84.110;80.993;77.877;74.759;72.381;69.900;67.430;65.250;63.586;61.390;58.092;54.859;51.949;49.739;48.084;48.565;46.733;45.014;43.280;41.616;39.837;38.022;36.254;34.580;33.010;31.580;30.235;28.954;27.707;26.515;25.400;24.320;23.287;22.238;21.166;20.022;18.850;17.820;16.521;15.440;14.373;13.324;12.325;11.349;10.309;9.194;8.052;6.974;6.029;5.252;4.661;4.241;3.986;3.871;3.873;3.974;4.154;3.764;3.240;2.637;2.026;1.462;990;625;366;198;99;44;19;7;528;546.677;504.504;482.576;463.699;446.496;430.088;414.675;399.996;385.816;372.179;359.092;347.077;336.521;326.893;318.365;310.891;304.639;298.464;293.235;287.090;279.105;269.894;260.949;252.061;242.694;232.781;222.500;212.357;202.263;193.214;185.771;179.207;172.758;166.517;161.595;156.580;151.557;147.095;143.646;139.260;132.908;126.675;121.070;116.707;113.343;114.012;109.771;105.701;101.715;97.891;93.955;90.007;86.169;82.495;78.936;75.520;72.224;69.026;65.884;62.767;59.665;56.576;53.526;50.519;47.577;44.690;41.883;39.402;36.426;33.855;31.311;28.797;26.422;24.127;21.734;19.206;16.658;14.268;12.170;10.434;9.096;8.130;7.513;7.196;7.130;7.282;7.612;6.885;5.916;4.806;3.689;2.662;1.801;1.137;667;361;180;81;34;12;803;7.683.555;6.586.237;14.269.792
1953;Cabecera;88.065;81.971;78.712;76.937;74.775;72.677;70.598;68.620;66.712;64.943;63.316;61.870;60.588;59.568;58.755;58.199;57.940;57.992;57.823;57.851;57.611;56.967;55.901;54.628;53.115;51.453;49.552;47.433;45.197;42.915;40.761;38.959;37.310;35.820;34.458;33.306;32.200;31.018;29.831;28.756;27.532;25.988;24.551;23.377;22.459;21.695;21.568;20.628;19.772;18.983;18.365;17.732;17.048;16.326;15.565;14.827;14.086;13.354;12.626;11.907;11.174;10.428;9.681;8.940;8.240;7.583;6.962;6.395;5.927;5.383;4.921;4.478;4.045;3.633;3.247;2.859;2.473;2.096;1.749;1.451;1.203;1.010;871;774;713;686;680;697;612;516;410;311;218;145;90;53;28;13;8;3;60;107.530;100.382;96.508;92.310;88.887;85.639;82.386;79.355;76.364;73.512;70.610;68.178;66.106;64.406;63.100;62.205;61.652;61.460;61.833;62.408;62.543;62.074;60.979;59.586;57.963;56.105;53.975;51.660;49.234;46.777;44.481;42.463;40.696;39.049;37.478;36.261;35.014;33.702;32.444;31.399;30.094;28.258;26.516;25.009;23.886;23.036;23.220;22.341;21.575;20.821;20.180;19.464;18.676;17.830;16.980;16.185;15.443;14.745;14.088;13.445;12.819;12.224;11.630;11.055;10.455;9.856;9.219;8.582;8.078;7.398;6.862;6.345;5.845;5.355;4.884;4.395;3.874;3.361;2.876;2.458;2.111;1.850;1.657;1.534;1.466;1.443;1.455;1.492;1.330;1.125;899;680;484;322;199;117;62;31;14;6;187;195.595;182.353;175.220;169.247;163.662;158.316;152.984;147.975;143.076;138.455;133.926;130.048;126.694;123.974;121.855;120.404;119.592;119.452;119.656;120.259;120.154;119.041;116.880;114.214;111.078;107.558;103.527;99.093;94.431;89.692;85.242;81.422;78.006;74.869;71.936;69.567;67.214;64.720;62.275;60.155;57.626;54.246;51.067;48.386;46.345;44.731;44.788;42.969;41.347;39.804;38.545;37.196;35.724;34.156;32.545;31.012;29.529;28.099;26.714;25.352;23.993;22.652;21.311;19.995;18.695;17.439;16.181;14.977;14.005;12.781;11.783;10.823;9.890;8.988;8.131;7.254;6.347;5.457;4.625;3.909;3.314;2.860;2.528;2.308;2.179;2.129;2.135;2.189;1.942;1.641;1.309;991;702;467;289;170;90;44;22;9;247;2.694.258;3.036.541;5.730.799
